year,zipcode,dage,dethnic,dlivedsf,deduc,dincome,movesf,ownrenhm,City,State,AvePrice,Lat,Lng
2017,94124,7,1,6,4,4,3,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,5,1,2,4,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,1,6,3,4,2,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,2,4,4,3,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,8,2,5,4,8,3,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,5,1,4,4,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,2,5,4,5,1,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94103,4,5,5,2,1,1,3,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,5,1,4,2,2,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,2,5,1,4,6,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,5,4,5,4,6,3,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,6,4,6,3,6,3,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,2,5,3,2,6,3,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,10,5,4,4,3,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,4,2,2,1,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,5,4,3,4,5,2,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,1,4,3,2,3,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,3,1,4,3,4,3,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,2,5,3,4,6,2,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,7,4,4,4,6,4,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,2,4,2,4,6,2,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,4,5,2,8,3,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,7,4,6,3,1,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,3,4,2,4,5,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,2,10,2,2,2,3,8,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,4,5,3,5,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,3,10,3,4,2,3,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,9,3,4,8,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,3,9,4,3,8,4,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,4,2,5,4,8,4,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,7,4,4,4,2,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,2,5,5,4,5,2,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,3,2,4,4,6,4,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,3,2,5,3,5,4,1,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
2017,94103,5,1,5,2,2,4,2,San Francisco,CA,1354866.6666666667,37.7726402,-122.4099154
